Datetime,PJME_MW
2009-11-14 01:00:00,24371.0
2009-11-14 02:00:00,23255.0
2009-11-14 03:00:00,22627.0
2009-11-14 04:00:00,22285.0
2009-11-14 05:00:00,22339.0
2009-11-14 06:00:00,22945.0
2009-11-14 07:00:00,24108.0
2009-11-14 08:00:00,25388.0
2009-11-14 09:00:00,27004.0
2009-11-14 10:00:00,28346.0
2009-11-14 11:00:00,28885.0
2009-11-14 12:00:00,28984.0
2009-11-14 13:00:00,28682.0
2009-11-14 14:00:00,28201.0
2009-11-14 15:00:00,27893.0
2009-11-14 16:00:00,27775.0
2009-11-14 17:00:00,28855.0
2009-11-14 18:00:00,30874.0
2009-11-14 19:00:00,30719.0
2009-11-14 20:00:00,30080.0
2009-11-14 21:00:00,29212.0
2009-11-14 22:00:00,28154.0
2009-11-14 23:00:00,26434.0
2009-11-14 00:00:00,26205.0
