Datetime,PJME_MW
2010-09-22 01:00:00,24785.0
2010-09-22 02:00:00,23711.0
2010-09-22 03:00:00,23034.0
2010-09-22 04:00:00,22793.0
2010-09-22 05:00:00,23300.0
2010-09-22 06:00:00,25228.0
2010-09-22 07:00:00,28732.0
2010-09-22 08:00:00,30647.0
2010-09-22 09:00:00,32048.0
2010-09-22 10:00:00,33568.0
2010-09-22 11:00:00,35113.0
2010-09-22 12:00:00,36601.0
2010-09-22 13:00:00,38066.0
2010-09-22 14:00:00,39894.0
2010-09-22 15:00:00,41423.0
2010-09-22 16:00:00,42701.0
2010-09-22 17:00:00,43366.0
2010-09-22 18:00:00,43256.0
2010-09-22 19:00:00,42425.0
2010-09-22 20:00:00,42854.0
2010-09-22 21:00:00,41011.0
2010-09-22 22:00:00,38141.0
2010-09-22 23:00:00,34790.0
2010-09-22 00:00:00,26788.0
