Datetime,PJME_MW
2002-11-25 01:00:00,24887.0
2002-11-25 02:00:00,24214.0
2002-11-25 03:00:00,24056.0
2002-11-25 04:00:00,24221.0
2002-11-25 05:00:00,25013.0
2002-11-25 06:00:00,27284.0
2002-11-25 07:00:00,31328.0
2002-11-25 08:00:00,33451.0
2002-11-25 09:00:00,33559.0
2002-11-25 10:00:00,33184.0
2002-11-25 11:00:00,32824.0
2002-11-25 12:00:00,32212.0
2002-11-25 13:00:00,31748.0
2002-11-25 14:00:00,31488.0
2002-11-25 15:00:00,31037.0
2002-11-25 16:00:00,30904.0
2002-11-25 17:00:00,32323.0
2002-11-25 18:00:00,34896.0
2002-11-25 19:00:00,35030.0
2002-11-25 20:00:00,34407.0
2002-11-25 21:00:00,33535.0
2002-11-25 22:00:00,31818.0
2002-11-25 23:00:00,29340.0
2002-11-25 00:00:00,26247.0
