Datetime,PJME_MW
2018-07-22 01:00:00,26051.0
2018-07-22 02:00:00,25053.0
2018-07-22 03:00:00,24463.0
2018-07-22 04:00:00,24053.0
2018-07-22 05:00:00,23872.0
2018-07-22 06:00:00,23972.0
2018-07-22 07:00:00,24019.0
2018-07-22 08:00:00,24967.0
2018-07-22 09:00:00,26719.0
2018-07-22 10:00:00,28581.0
2018-07-22 11:00:00,30291.0
2018-07-22 12:00:00,32147.0
2018-07-22 13:00:00,34052.0
2018-07-22 14:00:00,35498.0
2018-07-22 15:00:00,36544.0
2018-07-22 16:00:00,37274.0
2018-07-22 17:00:00,38288.0
2018-07-22 18:00:00,38878.0
2018-07-22 19:00:00,38254.0
2018-07-22 20:00:00,37374.0
2018-07-22 21:00:00,36995.0
2018-07-22 22:00:00,36331.0
2018-07-22 23:00:00,34405.0
2018-07-22 00:00:00,27413.0
