Datetime,PJMW_MW
2016-06-13 01:00:00,4271.0
2016-06-13 02:00:00,4009.0
2016-06-13 03:00:00,3986.0
2016-06-13 04:00:00,3934.0
2016-06-13 05:00:00,4022.0
2016-06-13 06:00:00,4171.0
2016-06-13 07:00:00,4445.0
2016-06-13 08:00:00,4747.0
2016-06-13 09:00:00,4962.0
2016-06-13 10:00:00,5149.0
2016-06-13 11:00:00,5330.0
2016-06-13 12:00:00,5470.0
2016-06-13 13:00:00,5559.0
2016-06-13 14:00:00,5706.0
2016-06-13 15:00:00,5752.0
2016-06-13 16:00:00,5924.0
2016-06-13 17:00:00,6130.0
2016-06-13 18:00:00,6097.0
2016-06-13 19:00:00,6053.0
2016-06-13 20:00:00,5955.0
2016-06-13 21:00:00,5824.0
2016-06-13 22:00:00,5725.0
2016-06-13 23:00:00,5228.0
2016-06-13 00:00:00,4634.0
