Datetime,PJMW_MW
2015-12-22 01:00:00,4828.0
2015-12-22 02:00:00,4720.0
2015-12-22 03:00:00,4584.0
2015-12-22 04:00:00,4536.0
2015-12-22 05:00:00,4688.0
2015-12-22 06:00:00,4888.0
2015-12-22 07:00:00,5360.0
2015-12-22 08:00:00,5634.0
2015-12-22 09:00:00,5644.0
2015-12-22 10:00:00,5627.0
2015-12-22 11:00:00,5615.0
2015-12-22 12:00:00,5589.0
2015-12-22 13:00:00,5514.0
2015-12-22 14:00:00,5412.0
2015-12-22 15:00:00,5315.0
2015-12-22 16:00:00,5288.0
2015-12-22 17:00:00,5362.0
2015-12-22 18:00:00,5792.0
2015-12-22 19:00:00,5873.0
2015-12-22 20:00:00,5840.0
2015-12-22 21:00:00,5767.0
2015-12-22 22:00:00,5565.0
2015-12-22 23:00:00,5249.0
2015-12-22 00:00:00,5176.0
