Datetime,PJMW_MW
2004-04-02 01:00:00,5337.0
2004-04-02 02:00:00,5177.0
2004-04-02 03:00:00,5126.0
2004-04-02 04:00:00,5123.0
2004-04-02 05:00:00,5209.0
2004-04-02 06:00:00,5515.0
2004-04-02 07:00:00,6055.0
2004-04-02 08:00:00,6338.0
2004-04-02 09:00:00,6361.0
2004-04-02 10:00:00,6325.0
2004-04-02 11:00:00,6330.0
2004-04-02 12:00:00,6257.0
2004-04-02 13:00:00,6202.0
2004-04-02 14:00:00,6153.0
2004-04-02 15:00:00,6084.0
2004-04-02 16:00:00,6084.0
2004-04-02 17:00:00,6072.0
2004-04-02 18:00:00,6146.0
2004-04-02 19:00:00,6265.0
2004-04-02 20:00:00,6311.0
2004-04-02 21:00:00,6195.0
2004-04-02 22:00:00,5975.0
2004-04-02 23:00:00,5748.0
2004-04-02 00:00:00,5550.0
