Datetime,PJMW_MW
2008-03-13 01:00:00,5400.0
2008-03-13 02:00:00,5303.0
2008-03-13 03:00:00,5298.0
2008-03-13 04:00:00,5384.0
2008-03-13 05:00:00,5479.0
2008-03-13 06:00:00,5858.0
2008-03-13 07:00:00,6506.0
2008-03-13 08:00:00,6841.0
2008-03-13 09:00:00,6661.0
2008-03-13 10:00:00,6457.0
2008-03-13 11:00:00,6250.0
2008-03-13 12:00:00,6028.0
2008-03-13 13:00:00,5828.0
2008-03-13 14:00:00,5678.0
2008-03-13 15:00:00,5478.0
2008-03-13 16:00:00,5403.0
2008-03-13 17:00:00,5331.0
2008-03-13 18:00:00,5347.0
2008-03-13 19:00:00,5414.0
2008-03-13 20:00:00,5702.0
2008-03-13 21:00:00,5908.0
2008-03-13 22:00:00,5737.0
2008-03-13 23:00:00,5419.0
2008-03-13 00:00:00,5621.0
