Datetime,PJMW_MW
2007-10-26 01:00:00,4401.0
2007-10-26 02:00:00,4234.0
2007-10-26 03:00:00,4150.0
2007-10-26 04:00:00,4094.0
2007-10-26 05:00:00,4152.0
2007-10-26 06:00:00,4490.0
2007-10-26 07:00:00,5053.0
2007-10-26 08:00:00,5331.0
2007-10-26 09:00:00,5381.0
2007-10-26 10:00:00,5440.0
2007-10-26 11:00:00,5478.0
2007-10-26 12:00:00,5483.0
2007-10-26 13:00:00,5419.0
2007-10-26 14:00:00,5393.0
2007-10-26 15:00:00,5378.0
2007-10-26 16:00:00,5340.0
2007-10-26 17:00:00,5309.0
2007-10-26 18:00:00,5350.0
2007-10-26 19:00:00,5552.0
2007-10-26 20:00:00,5534.0
2007-10-26 21:00:00,5328.0
2007-10-26 22:00:00,5166.0
2007-10-26 23:00:00,4851.0
2007-10-26 00:00:00,4684.0
