Datetime,PJMW_MW
2006-06-19 01:00:00,5113.0
2006-06-19 02:00:00,4818.0
2006-06-19 03:00:00,4686.0
2006-06-19 04:00:00,4575.0
2006-06-19 05:00:00,4599.0
2006-06-19 06:00:00,4740.0
2006-06-19 07:00:00,5084.0
2006-06-19 08:00:00,5461.0
2006-06-19 09:00:00,5779.0
2006-06-19 10:00:00,6071.0
2006-06-19 11:00:00,6364.0
2006-06-19 12:00:00,6568.0
2006-06-19 13:00:00,6653.0
2006-06-19 14:00:00,6696.0
2006-06-19 15:00:00,6728.0
2006-06-19 16:00:00,6783.0
2006-06-19 17:00:00,6892.0
2006-06-19 18:00:00,6851.0
2006-06-19 19:00:00,6815.0
2006-06-19 20:00:00,6663.0
2006-06-19 21:00:00,6564.0
2006-06-19 22:00:00,6476.0
2006-06-19 23:00:00,5966.0
2006-06-19 00:00:00,5627.0
