Datetime,PJMW_MW
2009-07-29 01:00:00,5059.0
2009-07-29 02:00:00,4796.0
2009-07-29 03:00:00,4556.0
2009-07-29 04:00:00,4469.0
2009-07-29 05:00:00,4452.0
2009-07-29 06:00:00,4657.0
2009-07-29 07:00:00,5007.0
2009-07-29 08:00:00,5244.0
2009-07-29 09:00:00,5468.0
2009-07-29 10:00:00,5684.0
2009-07-29 11:00:00,5854.0
2009-07-29 12:00:00,6054.0
2009-07-29 13:00:00,6120.0
2009-07-29 14:00:00,6148.0
2009-07-29 15:00:00,6128.0
2009-07-29 16:00:00,6041.0
2009-07-29 17:00:00,6182.0
2009-07-29 18:00:00,6192.0
2009-07-29 19:00:00,6103.0
2009-07-29 20:00:00,6048.0
2009-07-29 21:00:00,5990.0
2009-07-29 22:00:00,5915.0
2009-07-29 23:00:00,5490.0
2009-07-29 00:00:00,5550.0
