Datetime,PJMW_MW
2006-09-28 01:00:00,4265.0
2006-09-28 02:00:00,4155.0
2006-09-28 03:00:00,4082.0
2006-09-28 04:00:00,4059.0
2006-09-28 05:00:00,4126.0
2006-09-28 06:00:00,4440.0
2006-09-28 07:00:00,4978.0
2006-09-28 08:00:00,5210.0
2006-09-28 09:00:00,5308.0
2006-09-28 10:00:00,5388.0
2006-09-28 11:00:00,5426.0
2006-09-28 12:00:00,5472.0
2006-09-28 13:00:00,5465.0
2006-09-28 14:00:00,5478.0
2006-09-28 15:00:00,5394.0
2006-09-28 16:00:00,5346.0
2006-09-28 17:00:00,5393.0
2006-09-28 18:00:00,5408.0
2006-09-28 19:00:00,5463.0
2006-09-28 20:00:00,5607.0
2006-09-28 21:00:00,5550.0
2006-09-28 22:00:00,5269.0
2006-09-28 23:00:00,4913.0
2006-09-28 00:00:00,4588.0
