Datetime,PJMW_MW
2015-04-16 01:00:00,4439.0
2015-04-16 02:00:00,4302.0
2015-04-16 03:00:00,4263.0
2015-04-16 04:00:00,4321.0
2015-04-16 05:00:00,4402.0
2015-04-16 06:00:00,4773.0
2015-04-16 07:00:00,5252.0
2015-04-16 08:00:00,5388.0
2015-04-16 09:00:00,5380.0
2015-04-16 10:00:00,5253.0
2015-04-16 11:00:00,5277.0
2015-04-16 12:00:00,5229.0
2015-04-16 13:00:00,5258.0
2015-04-16 14:00:00,5236.0
2015-04-16 15:00:00,5165.0
2015-04-16 16:00:00,5121.0
2015-04-16 17:00:00,5137.0
2015-04-16 18:00:00,5204.0
2015-04-16 19:00:00,5257.0
2015-04-16 20:00:00,5352.0
2015-04-16 21:00:00,5498.0
2015-04-16 22:00:00,5318.0
2015-04-16 23:00:00,5009.0
2015-04-16 00:00:00,4630.0
