Datetime,PJMW_MW
2009-01-11 01:00:00,5192.0
2009-01-11 02:00:00,5005.0
2009-01-11 03:00:00,4993.0
2009-01-11 04:00:00,4982.0
2009-01-11 05:00:00,4972.0
2009-01-11 06:00:00,5118.0
2009-01-11 07:00:00,5299.0
2009-01-11 08:00:00,5523.0
2009-01-11 09:00:00,5795.0
2009-01-11 10:00:00,6064.0
2009-01-11 11:00:00,6199.0
2009-01-11 12:00:00,6160.0
2009-01-11 13:00:00,6213.0
2009-01-11 14:00:00,6158.0
2009-01-11 15:00:00,6120.0
2009-01-11 16:00:00,6127.0
2009-01-11 17:00:00,6288.0
2009-01-11 18:00:00,6606.0
2009-01-11 19:00:00,6657.0
2009-01-11 20:00:00,6618.0
2009-01-11 21:00:00,6639.0
2009-01-11 22:00:00,6420.0
2009-01-11 23:00:00,6119.0
2009-01-11 00:00:00,5451.0
