Datetime,PJMW_MW
2011-10-29 01:00:00,4777.0
2011-10-29 02:00:00,4629.0
2011-10-29 03:00:00,4607.0
2011-10-29 04:00:00,4620.0
2011-10-29 05:00:00,4652.0
2011-10-29 06:00:00,4824.0
2011-10-29 07:00:00,5024.0
2011-10-29 08:00:00,5361.0
2011-10-29 09:00:00,5594.0
2011-10-29 10:00:00,5818.0
2011-10-29 11:00:00,5784.0
2011-10-29 12:00:00,5782.0
2011-10-29 13:00:00,5701.0
2011-10-29 14:00:00,5597.0
2011-10-29 15:00:00,5518.0
2011-10-29 16:00:00,5488.0
2011-10-29 17:00:00,5493.0
2011-10-29 18:00:00,5542.0
2011-10-29 19:00:00,5732.0
2011-10-29 20:00:00,5791.0
2011-10-29 21:00:00,5696.0
2011-10-29 22:00:00,5504.0
2011-10-29 23:00:00,5245.0
2011-10-29 00:00:00,5015.0
