Datetime,COMED_MW
2011-06-25 01:00:00,10039.0
2011-06-25 02:00:00,9349.0
2011-06-25 03:00:00,8948.0
2011-06-25 04:00:00,8641.0
2011-06-25 05:00:00,8510.0
2011-06-25 06:00:00,8469.0
2011-06-25 07:00:00,8406.0
2011-06-25 08:00:00,8714.0
2011-06-25 09:00:00,9489.0
2011-06-25 10:00:00,10247.0
2011-06-25 11:00:00,10942.0
2011-06-25 12:00:00,11463.0
2011-06-25 13:00:00,11794.0
2011-06-25 14:00:00,11997.0
2011-06-25 15:00:00,12032.0
2011-06-25 16:00:00,12002.0
2011-06-25 17:00:00,11834.0
2011-06-25 18:00:00,11753.0
2011-06-25 19:00:00,11465.0
2011-06-25 20:00:00,11232.0
2011-06-25 21:00:00,11068.0
2011-06-25 22:00:00,11242.0
2011-06-25 23:00:00,11236.0
2011-06-25 00:00:00,10729.0
