Datetime,COMED_MW
2017-12-11 01:00:00,10198.0
2017-12-11 02:00:00,9913.0
2017-12-11 03:00:00,9694.0
2017-12-11 04:00:00,9612.0
2017-12-11 05:00:00,9693.0
2017-12-11 06:00:00,10055.0
2017-12-11 07:00:00,10824.0
2017-12-11 08:00:00,12013.0
2017-12-11 09:00:00,12536.0
2017-12-11 10:00:00,12660.0
2017-12-11 11:00:00,12627.0
2017-12-11 12:00:00,12677.0
2017-12-11 13:00:00,12664.0
2017-12-11 14:00:00,12546.0
2017-12-11 15:00:00,12450.0
2017-12-11 16:00:00,12430.0
2017-12-11 17:00:00,12465.0
2017-12-11 18:00:00,13140.0
2017-12-11 19:00:00,13568.0
2017-12-11 20:00:00,13481.0
2017-12-11 21:00:00,13267.0
2017-12-11 22:00:00,13018.0
2017-12-11 23:00:00,12546.0
2017-12-11 00:00:00,10755.0
