Datetime,COMED_MW
2017-02-06 01:00:00,9754.0
2017-02-06 02:00:00,9482.0
2017-02-06 03:00:00,9328.0
2017-02-06 04:00:00,9298.0
2017-02-06 05:00:00,9419.0
2017-02-06 06:00:00,9724.0
2017-02-06 07:00:00,10501.0
2017-02-06 08:00:00,11565.0
2017-02-06 09:00:00,11963.0
2017-02-06 10:00:00,11963.0
2017-02-06 11:00:00,11831.0
2017-02-06 12:00:00,11698.0
2017-02-06 13:00:00,11512.0
2017-02-06 14:00:00,11373.0
2017-02-06 15:00:00,11263.0
2017-02-06 16:00:00,11112.0
2017-02-06 17:00:00,11079.0
2017-02-06 18:00:00,11413.0
2017-02-06 19:00:00,11995.0
2017-02-06 20:00:00,11970.0
2017-02-06 21:00:00,11765.0
2017-02-06 22:00:00,11449.0
2017-02-06 23:00:00,10924.0
2017-02-06 00:00:00,10238.0
