Datetime,COMED_MW
2012-06-11 01:00:00,13223.0
2012-06-11 02:00:00,12273.0
2012-06-11 03:00:00,11588.0
2012-06-11 04:00:00,11034.0
2012-06-11 05:00:00,10757.0
2012-06-11 06:00:00,10779.0
2012-06-11 07:00:00,11136.0
2012-06-11 08:00:00,12321.0
2012-06-11 09:00:00,13566.0
2012-06-11 10:00:00,14535.0
2012-06-11 11:00:00,15665.0
2012-06-11 12:00:00,16664.0
2012-06-11 13:00:00,17239.0
2012-06-11 14:00:00,17722.0
2012-06-11 15:00:00,18282.0
2012-06-11 16:00:00,18565.0
2012-06-11 17:00:00,18762.0
2012-06-11 18:00:00,18738.0
2012-06-11 19:00:00,18313.0
2012-06-11 20:00:00,17670.0
2012-06-11 21:00:00,16987.0
2012-06-11 22:00:00,16613.0
2012-06-11 23:00:00,16220.0
2012-06-11 00:00:00,14263.0
