Datetime,COMED_MW
2014-05-20 01:00:00,9273.0
2014-05-20 02:00:00,8759.0
2014-05-20 03:00:00,8432.0
2014-05-20 04:00:00,8237.0
2014-05-20 05:00:00,8193.0
2014-05-20 06:00:00,8360.0
2014-05-20 07:00:00,8880.0
2014-05-20 08:00:00,9775.0
2014-05-20 09:00:00,10694.0
2014-05-20 10:00:00,11314.0
2014-05-20 11:00:00,11815.0
2014-05-20 12:00:00,12289.0
2014-05-20 13:00:00,12671.0
2014-05-20 14:00:00,13041.0
2014-05-20 15:00:00,13487.0
2014-05-20 16:00:00,13753.0
2014-05-20 17:00:00,14025.0
2014-05-20 18:00:00,14202.0
2014-05-20 19:00:00,14176.0
2014-05-20 20:00:00,13903.0
2014-05-20 21:00:00,14069.0
2014-05-20 22:00:00,14008.0
2014-05-20 23:00:00,13252.0
2014-05-20 00:00:00,10005.0
