Datetime,COMED_MW
2011-12-23 01:00:00,10853.0
2011-12-23 02:00:00,10177.0
2011-12-23 03:00:00,9758.0
2011-12-23 04:00:00,9560.0
2011-12-23 05:00:00,9504.0
2011-12-23 06:00:00,9718.0
2011-12-23 07:00:00,10265.0
2011-12-23 08:00:00,11162.0
2011-12-23 09:00:00,11534.0
2011-12-23 10:00:00,11686.0
2011-12-23 11:00:00,11707.0
2011-12-23 12:00:00,11686.0
2011-12-23 13:00:00,11509.0
2011-12-23 14:00:00,11374.0
2011-12-23 15:00:00,11301.0
2011-12-23 16:00:00,11395.0
2011-12-23 17:00:00,11668.0
2011-12-23 18:00:00,12618.0
2011-12-23 19:00:00,13158.0
2011-12-23 20:00:00,12967.0
2011-12-23 21:00:00,12736.0
2011-12-23 22:00:00,12512.0
2011-12-23 23:00:00,12165.0
2011-12-23 00:00:00,11779.0
