Datetime,COMED_MW
2015-05-13 01:00:00,9168.0
2015-05-13 02:00:00,8701.0
2015-05-13 03:00:00,8466.0
2015-05-13 04:00:00,8309.0
2015-05-13 05:00:00,8297.0
2015-05-13 06:00:00,8539.0
2015-05-13 07:00:00,9091.0
2015-05-13 08:00:00,9936.0
2015-05-13 09:00:00,10556.0
2015-05-13 10:00:00,10828.0
2015-05-13 11:00:00,10964.0
2015-05-13 12:00:00,10979.0
2015-05-13 13:00:00,10977.0
2015-05-13 14:00:00,11004.0
2015-05-13 15:00:00,10996.0
2015-05-13 16:00:00,10909.0
2015-05-13 17:00:00,10751.0
2015-05-13 18:00:00,10639.0
2015-05-13 19:00:00,10479.0
2015-05-13 20:00:00,10300.0
2015-05-13 21:00:00,10347.0
2015-05-13 22:00:00,10880.0
2015-05-13 23:00:00,10651.0
2015-05-13 00:00:00,9989.0
