Datetime,COMED_MW
2014-12-11 01:00:00,10971.0
2014-12-11 02:00:00,10429.0
2014-12-11 03:00:00,10125.0
2014-12-11 04:00:00,9967.0
2014-12-11 05:00:00,9939.0
2014-12-11 06:00:00,10225.0
2014-12-11 07:00:00,11011.0
2014-12-11 08:00:00,12198.0
2014-12-11 09:00:00,12762.0
2014-12-11 10:00:00,12853.0
2014-12-11 11:00:00,12845.0
2014-12-11 12:00:00,12774.0
2014-12-11 13:00:00,12665.0
2014-12-11 14:00:00,12487.0
2014-12-11 15:00:00,12421.0
2014-12-11 16:00:00,12307.0
2014-12-11 17:00:00,12373.0
2014-12-11 18:00:00,13257.0
2014-12-11 19:00:00,13900.0
2014-12-11 20:00:00,13794.0
2014-12-11 21:00:00,13600.0
2014-12-11 22:00:00,13344.0
2014-12-11 23:00:00,12872.0
2014-12-11 00:00:00,11819.0
