Datetime,COMED_MW
2017-10-31 01:00:00,9667.0
2017-10-31 02:00:00,9291.0
2017-10-31 03:00:00,9031.0
2017-10-31 04:00:00,8922.0
2017-10-31 05:00:00,8934.0
2017-10-31 06:00:00,9158.0
2017-10-31 07:00:00,9848.0
2017-10-31 08:00:00,10963.0
2017-10-31 09:00:00,11653.0
2017-10-31 10:00:00,11734.0
2017-10-31 11:00:00,11671.0
2017-10-31 12:00:00,11655.0
2017-10-31 13:00:00,11557.0
2017-10-31 14:00:00,11418.0
2017-10-31 15:00:00,11345.0
2017-10-31 16:00:00,11178.0
2017-10-31 17:00:00,11098.0
2017-10-31 18:00:00,11124.0
2017-10-31 19:00:00,11329.0
2017-10-31 20:00:00,11667.0
2017-10-31 21:00:00,11550.0
2017-10-31 22:00:00,11337.0
2017-10-31 23:00:00,10909.0
2017-10-31 00:00:00,10287.0
