Datetime,COMED_MW
2013-08-29 01:00:00,12887.0
2013-08-29 02:00:00,11977.0
2013-08-29 03:00:00,11350.0
2013-08-29 04:00:00,10933.0
2013-08-29 05:00:00,10703.0
2013-08-29 06:00:00,10797.0
2013-08-29 07:00:00,11492.0
2013-08-29 08:00:00,12542.0
2013-08-29 09:00:00,13425.0
2013-08-29 10:00:00,14197.0
2013-08-29 11:00:00,15287.0
2013-08-29 12:00:00,16446.0
2013-08-29 13:00:00,17320.0
2013-08-29 14:00:00,18108.0
2013-08-29 15:00:00,18813.0
2013-08-29 16:00:00,19274.0
2013-08-29 17:00:00,19592.0
2013-08-29 18:00:00,19702.0
2013-08-29 19:00:00,19322.0
2013-08-29 20:00:00,18404.0
2013-08-29 21:00:00,17694.0
2013-08-29 22:00:00,17357.0
2013-08-29 23:00:00,16203.0
2013-08-29 00:00:00,14178.0
