Datetime,AEP_MW
2005-11-14 01:00:00,12154.0
2005-11-14 02:00:00,11903.0
2005-11-14 03:00:00,11795.0
2005-11-14 04:00:00,11888.0
2005-11-14 05:00:00,12226.0
2005-11-14 06:00:00,13262.0
2005-11-14 07:00:00,15035.0
2005-11-14 08:00:00,15913.0
2005-11-14 09:00:00,15870.0
2005-11-14 10:00:00,15839.0
2005-11-14 11:00:00,15759.0
2005-11-14 12:00:00,15654.0
2005-11-14 13:00:00,15495.0
2005-11-14 14:00:00,15513.0
2005-11-14 15:00:00,15308.0
2005-11-14 16:00:00,15117.0
2005-11-14 17:00:00,15527.0
2005-11-14 18:00:00,16511.0
2005-11-14 19:00:00,16883.0
2005-11-14 20:00:00,16765.0
2005-11-14 21:00:00,16623.0
2005-11-14 22:00:00,16059.0
2005-11-14 23:00:00,14987.0
2005-11-14 00:00:00,12606.0
