Datetime,AEP_MW
2006-01-01 00:00:00,14565.0
2006-01-01 01:00:00,14287.0
2006-01-01 02:00:00,13932.0
2006-01-01 03:00:00,13713.0
2006-01-01 04:00:00,13656.0
2006-01-01 05:00:00,13635.0
2006-01-01 06:00:00,13850.0
2006-01-01 07:00:00,14199.0
2006-01-01 08:00:00,14662.0
2006-01-01 09:00:00,14952.0
2006-01-01 10:00:00,15119.0
2006-01-01 11:00:00,14925.0
2006-01-01 12:00:00,14636.0
2006-01-01 13:00:00,14475.0
2006-01-01 14:00:00,14161.0
2006-01-01 15:00:00,13841.0
2006-01-01 16:00:00,13748.0
2006-01-01 17:00:00,14018.0
2006-01-01 18:00:00,15141.0
2006-01-01 19:00:00,15748.0
2006-01-01 20:00:00,15813.0
2006-01-01 21:00:00,15638.0
2006-01-01 22:00:00,15381.0
2006-01-01 23:00:00,14743.0
