Datetime,FE_MW
2017-12-06 01:00:00,7310.0
2017-12-06 02:00:00,7143.0
2017-12-06 03:00:00,7085.0
2017-12-06 04:00:00,7092.0
2017-12-06 05:00:00,7247.0
2017-12-06 06:00:00,7674.0
2017-12-06 07:00:00,8413.0
2017-12-06 08:00:00,8766.0
2017-12-06 09:00:00,8684.0
2017-12-06 10:00:00,8679.0
2017-12-06 11:00:00,8732.0
2017-12-06 12:00:00,8672.0
2017-12-06 13:00:00,8497.0
2017-12-06 14:00:00,8475.0
2017-12-06 15:00:00,8322.0
2017-12-06 16:00:00,8266.0
2017-12-06 17:00:00,8434.0
2017-12-06 18:00:00,8964.0
2017-12-06 19:00:00,9070.0
2017-12-06 20:00:00,9024.0
2017-12-06 21:00:00,8880.0
2017-12-06 22:00:00,8593.0
2017-12-06 23:00:00,8135.0
2017-12-06 00:00:00,7576.0
