Datetime,FE_MW
2017-08-07 01:00:00,6337.0
2017-08-07 02:00:00,6115.0
2017-08-07 03:00:00,6018.0
2017-08-07 04:00:00,5963.0
2017-08-07 05:00:00,6009.0
2017-08-07 06:00:00,6385.0
2017-08-07 07:00:00,6864.0
2017-08-07 08:00:00,7300.0
2017-08-07 09:00:00,7710.0
2017-08-07 10:00:00,8032.0
2017-08-07 11:00:00,8400.0
2017-08-07 12:00:00,8627.0
2017-08-07 13:00:00,8927.0
2017-08-07 14:00:00,9141.0
2017-08-07 15:00:00,9206.0
2017-08-07 16:00:00,9225.0
2017-08-07 17:00:00,9165.0
2017-08-07 18:00:00,9057.0
2017-08-07 19:00:00,8798.0
2017-08-07 20:00:00,8568.0
2017-08-07 21:00:00,8531.0
2017-08-07 22:00:00,8479.0
2017-08-07 23:00:00,7915.0
2017-08-07 00:00:00,6705.0
