Datetime,FE_MW
2017-06-22 01:00:00,6939.0
2017-06-22 02:00:00,6566.0
2017-06-22 03:00:00,6415.0
2017-06-22 04:00:00,6301.0
2017-06-22 05:00:00,6330.0
2017-06-22 06:00:00,6585.0
2017-06-22 07:00:00,7007.0
2017-06-22 08:00:00,7602.0
2017-06-22 09:00:00,8188.0
2017-06-22 10:00:00,8646.0
2017-06-22 11:00:00,9192.0
2017-06-22 12:00:00,9543.0
2017-06-22 13:00:00,9691.0
2017-06-22 14:00:00,9875.0
2017-06-22 15:00:00,10147.0
2017-06-22 16:00:00,10432.0
2017-06-22 17:00:00,10614.0
2017-06-22 18:00:00,10822.0
2017-06-22 19:00:00,10675.0
2017-06-22 20:00:00,10448.0
2017-06-22 21:00:00,10137.0
2017-06-22 22:00:00,10051.0
2017-06-22 23:00:00,9584.0
2017-06-22 00:00:00,7373.0
