Datetime,FE_MW
2017-03-30 01:00:00,6483.0
2017-03-30 02:00:00,6351.0
2017-03-30 03:00:00,6268.0
2017-03-30 04:00:00,6219.0
2017-03-30 05:00:00,6352.0
2017-03-30 06:00:00,6759.0
2017-03-30 07:00:00,7413.0
2017-03-30 08:00:00,7870.0
2017-03-30 09:00:00,8018.0
2017-03-30 10:00:00,8168.0
2017-03-30 11:00:00,8290.0
2017-03-30 12:00:00,8285.0
2017-03-30 13:00:00,8231.0
2017-03-30 14:00:00,8189.0
2017-03-30 15:00:00,7971.0
2017-03-30 16:00:00,7832.0
2017-03-30 17:00:00,7771.0
2017-03-30 18:00:00,7728.0
2017-03-30 19:00:00,7668.0
2017-03-30 20:00:00,7754.0
2017-03-30 21:00:00,7946.0
2017-03-30 22:00:00,7698.0
2017-03-30 23:00:00,7259.0
2017-03-30 00:00:00,6726.0
