Datetime,FE_MW
2011-10-25 01:00:00,6506.0
2011-10-25 02:00:00,6300.0
2011-10-25 03:00:00,6215.0
2011-10-25 04:00:00,6150.0
2011-10-25 05:00:00,6291.0
2011-10-25 06:00:00,6705.0
2011-10-25 07:00:00,7535.0
2011-10-25 08:00:00,8111.0
2011-10-25 09:00:00,8162.0
2011-10-25 10:00:00,8103.0
2011-10-25 11:00:00,8119.0
2011-10-25 12:00:00,8038.0
2011-10-25 13:00:00,8006.0
2011-10-25 14:00:00,7907.0
2011-10-25 15:00:00,7800.0
2011-10-25 16:00:00,7673.0
2011-10-25 17:00:00,7564.0
2011-10-25 18:00:00,7556.0
2011-10-25 19:00:00,7816.0
2011-10-25 20:00:00,8132.0
2011-10-25 21:00:00,8003.0
2011-10-25 22:00:00,7680.0
2011-10-25 23:00:00,7223.0
2011-10-25 00:00:00,6817.0
