Datetime,FE_MW
2016-11-13 01:00:00,6177.0
2016-11-13 02:00:00,6042.0
2016-11-13 03:00:00,5970.0
2016-11-13 04:00:00,5956.0
2016-11-13 05:00:00,5978.0
2016-11-13 06:00:00,6054.0
2016-11-13 07:00:00,6304.0
2016-11-13 08:00:00,6402.0
2016-11-13 09:00:00,6568.0
2016-11-13 10:00:00,6645.0
2016-11-13 11:00:00,6558.0
2016-11-13 12:00:00,6575.0
2016-11-13 13:00:00,6442.0
2016-11-13 14:00:00,6399.0
2016-11-13 15:00:00,6324.0
2016-11-13 16:00:00,6345.0
2016-11-13 17:00:00,6502.0
2016-11-13 18:00:00,7045.0
2016-11-13 19:00:00,7290.0
2016-11-13 20:00:00,7224.0
2016-11-13 21:00:00,7155.0
2016-11-13 22:00:00,6968.0
2016-11-13 23:00:00,6654.0
2016-11-13 00:00:00,6406.0
