Datetime,FE_MW
2014-10-11 01:00:00,6202.0
2014-10-11 02:00:00,6010.0
2014-10-11 03:00:00,5906.0
2014-10-11 04:00:00,5821.0
2014-10-11 05:00:00,5850.0
2014-10-11 06:00:00,6046.0
2014-10-11 07:00:00,6318.0
2014-10-11 08:00:00,6585.0
2014-10-11 09:00:00,6676.0
2014-10-11 10:00:00,6857.0
2014-10-11 11:00:00,7012.0
2014-10-11 12:00:00,6976.0
2014-10-11 13:00:00,6900.0
2014-10-11 14:00:00,6745.0
2014-10-11 15:00:00,6649.0
2014-10-11 16:00:00,6503.0
2014-10-11 17:00:00,6483.0
2014-10-11 18:00:00,6521.0
2014-10-11 19:00:00,6548.0
2014-10-11 20:00:00,6919.0
2014-10-11 21:00:00,6963.0
2014-10-11 22:00:00,6775.0
2014-10-11 23:00:00,6463.0
2014-10-11 00:00:00,6588.0
