Datetime,FE_MW
2012-09-08 01:00:00,6987.0
2012-09-08 02:00:00,6703.0
2012-09-08 03:00:00,6401.0
2012-09-08 04:00:00,6277.0
2012-09-08 05:00:00,6249.0
2012-09-08 06:00:00,6269.0
2012-09-08 07:00:00,6457.0
2012-09-08 08:00:00,6569.0
2012-09-08 09:00:00,6890.0
2012-09-08 10:00:00,7117.0
2012-09-08 11:00:00,7256.0
2012-09-08 12:00:00,7329.0
2012-09-08 13:00:00,7275.0
2012-09-08 14:00:00,7267.0
2012-09-08 15:00:00,7212.0
2012-09-08 16:00:00,7158.0
2012-09-08 17:00:00,7205.0
2012-09-08 18:00:00,7187.0
2012-09-08 19:00:00,7063.0
2012-09-08 20:00:00,6942.0
2012-09-08 21:00:00,7207.0
2012-09-08 22:00:00,6971.0
2012-09-08 23:00:00,6560.0
2012-09-08 00:00:00,7465.0
