Datetime,FE_MW
2017-05-24 01:00:00,6278.0
2017-05-24 02:00:00,6087.0
2017-05-24 03:00:00,5894.0
2017-05-24 04:00:00,5864.0
2017-05-24 05:00:00,5935.0
2017-05-24 06:00:00,6269.0
2017-05-24 07:00:00,6736.0
2017-05-24 08:00:00,7183.0
2017-05-24 09:00:00,7428.0
2017-05-24 10:00:00,7594.0
2017-05-24 11:00:00,7779.0
2017-05-24 12:00:00,7797.0
2017-05-24 13:00:00,7837.0
2017-05-24 14:00:00,7882.0
2017-05-24 15:00:00,7811.0
2017-05-24 16:00:00,7714.0
2017-05-24 17:00:00,7577.0
2017-05-24 18:00:00,7503.0
2017-05-24 19:00:00,7372.0
2017-05-24 20:00:00,7375.0
2017-05-24 21:00:00,7473.0
2017-05-24 22:00:00,7386.0
2017-05-24 23:00:00,6935.0
2017-05-24 00:00:00,6640.0
