Datetime,FE_MW
2015-08-25 01:00:00,6544.0
2015-08-25 02:00:00,6307.0
2015-08-25 03:00:00,6135.0
2015-08-25 04:00:00,6012.0
2015-08-25 05:00:00,6099.0
2015-08-25 06:00:00,6420.0
2015-08-25 07:00:00,6984.0
2015-08-25 08:00:00,7358.0
2015-08-25 09:00:00,7636.0
2015-08-25 10:00:00,7815.0
2015-08-25 11:00:00,8007.0
2015-08-25 12:00:00,8072.0
2015-08-25 13:00:00,8065.0
2015-08-25 14:00:00,8090.0
2015-08-25 15:00:00,8048.0
2015-08-25 16:00:00,7893.0
2015-08-25 17:00:00,7807.0
2015-08-25 18:00:00,7692.0
2015-08-25 19:00:00,7585.0
2015-08-25 20:00:00,7539.0
2015-08-25 21:00:00,7786.0
2015-08-25 22:00:00,7634.0
2015-08-25 23:00:00,7175.0
2015-08-25 00:00:00,7039.0
