Datetime,FE_MW
2018-02-03 01:00:00,8017.0
2018-02-03 02:00:00,7898.0
2018-02-03 03:00:00,7837.0
2018-02-03 04:00:00,7803.0
2018-02-03 05:00:00,7809.0
2018-02-03 06:00:00,7908.0
2018-02-03 07:00:00,8233.0
2018-02-03 08:00:00,8427.0
2018-02-03 09:00:00,8596.0
2018-02-03 10:00:00,8752.0
2018-02-03 11:00:00,8734.0
2018-02-03 12:00:00,8591.0
2018-02-03 13:00:00,8382.0
2018-02-03 14:00:00,8180.0
2018-02-03 15:00:00,8118.0
2018-02-03 16:00:00,8047.0
2018-02-03 17:00:00,8121.0
2018-02-03 18:00:00,8293.0
2018-02-03 19:00:00,8463.0
2018-02-03 20:00:00,8414.0
2018-02-03 21:00:00,8343.0
2018-02-03 22:00:00,8073.0
2018-02-03 23:00:00,7830.0
2018-02-03 00:00:00,8355.0
