Datetime,FE_MW
2017-11-24 01:00:00,6063.0
2017-11-24 02:00:00,5952.0
2017-11-24 03:00:00,5917.0
2017-11-24 04:00:00,5931.0
2017-11-24 05:00:00,6036.0
2017-11-24 06:00:00,6262.0
2017-11-24 07:00:00,6605.0
2017-11-24 08:00:00,6751.0
2017-11-24 09:00:00,6802.0
2017-11-24 10:00:00,6857.0
2017-11-24 11:00:00,6794.0
2017-11-24 12:00:00,6716.0
2017-11-24 13:00:00,6607.0
2017-11-24 14:00:00,6504.0
2017-11-24 15:00:00,6403.0
2017-11-24 16:00:00,6389.0
2017-11-24 17:00:00,6502.0
2017-11-24 18:00:00,6997.0
2017-11-24 19:00:00,7082.0
2017-11-24 20:00:00,7036.0
2017-11-24 21:00:00,6951.0
2017-11-24 22:00:00,6774.0
2017-11-24 23:00:00,6463.0
2017-11-24 00:00:00,6232.0
