Datetime,FE_MW
2014-11-01 01:00:00,6379.0
2014-11-01 02:00:00,6148.0
2014-11-01 03:00:00,5993.0
2014-11-01 04:00:00,5925.0
2014-11-01 05:00:00,5920.0
2014-11-01 06:00:00,6040.0
2014-11-01 07:00:00,6425.0
2014-11-01 08:00:00,6820.0
2014-11-01 09:00:00,7156.0
2014-11-01 10:00:00,7341.0
2014-11-01 11:00:00,7500.0
2014-11-01 12:00:00,7512.0
2014-11-01 13:00:00,7437.0
2014-11-01 14:00:00,7344.0
2014-11-01 15:00:00,7289.0
2014-11-01 16:00:00,7287.0
2014-11-01 17:00:00,7236.0
2014-11-01 18:00:00,7336.0
2014-11-01 19:00:00,7544.0
2014-11-01 20:00:00,7760.0
2014-11-01 21:00:00,7589.0
2014-11-01 22:00:00,7378.0
2014-11-01 23:00:00,7132.0
2014-11-01 00:00:00,6734.0
