Datetime,FE_MW
2018-01-02 01:00:00,8138.0
2018-01-02 02:00:00,8037.0
2018-01-02 03:00:00,7998.0
2018-01-02 04:00:00,8003.0
2018-01-02 05:00:00,8153.0
2018-01-02 06:00:00,8525.0
2018-01-02 07:00:00,9080.0
2018-01-02 08:00:00,9562.0
2018-01-02 09:00:00,9702.0
2018-01-02 10:00:00,9763.0
2018-01-02 11:00:00,9926.0
2018-01-02 12:00:00,9833.0
2018-01-02 13:00:00,9671.0
2018-01-02 14:00:00,9659.0
2018-01-02 15:00:00,9545.0
2018-01-02 16:00:00,9471.0
2018-01-02 17:00:00,9614.0
2018-01-02 18:00:00,10177.0
2018-01-02 19:00:00,10481.0
2018-01-02 20:00:00,10433.0
2018-01-02 21:00:00,10320.0
2018-01-02 22:00:00,10074.0
2018-01-02 23:00:00,9615.0
2018-01-02 00:00:00,8393.0
