Datetime,FE_MW
2016-01-30 01:00:00,7529.0
2016-01-30 02:00:00,7305.0
2016-01-30 03:00:00,7177.0
2016-01-30 04:00:00,7086.0
2016-01-30 05:00:00,7072.0
2016-01-30 06:00:00,7234.0
2016-01-30 07:00:00,7485.0
2016-01-30 08:00:00,7804.0
2016-01-30 09:00:00,7938.0
2016-01-30 10:00:00,7953.0
2016-01-30 11:00:00,7839.0
2016-01-30 12:00:00,7691.0
2016-01-30 13:00:00,7471.0
2016-01-30 14:00:00,7297.0
2016-01-30 15:00:00,7153.0
2016-01-30 16:00:00,7065.0
2016-01-30 17:00:00,7054.0
2016-01-30 18:00:00,7247.0
2016-01-30 19:00:00,7610.0
2016-01-30 20:00:00,7521.0
2016-01-30 21:00:00,7457.0
2016-01-30 22:00:00,7226.0
2016-01-30 23:00:00,6971.0
2016-01-30 00:00:00,7772.0
