Datetime,FE_MW
2017-11-17 01:00:00,6933.0
2017-11-17 02:00:00,6748.0
2017-11-17 03:00:00,6677.0
2017-11-17 04:00:00,6660.0
2017-11-17 05:00:00,6791.0
2017-11-17 06:00:00,7101.0
2017-11-17 07:00:00,7841.0
2017-11-17 08:00:00,8232.0
2017-11-17 09:00:00,8306.0
2017-11-17 10:00:00,8323.0
2017-11-17 11:00:00,8233.0
2017-11-17 12:00:00,8139.0
2017-11-17 13:00:00,7977.0
2017-11-17 14:00:00,7940.0
2017-11-17 15:00:00,7819.0
2017-11-17 16:00:00,7825.0
2017-11-17 17:00:00,7906.0
2017-11-17 18:00:00,8234.0
2017-11-17 19:00:00,8250.0
2017-11-17 20:00:00,8110.0
2017-11-17 21:00:00,7983.0
2017-11-17 22:00:00,7731.0
2017-11-17 23:00:00,7396.0
2017-11-17 00:00:00,7187.0
