Datetime,FE_MW
2013-03-14 01:00:00,7554.0
2013-03-14 02:00:00,7419.0
2013-03-14 03:00:00,7275.0
2013-03-14 04:00:00,7306.0
2013-03-14 05:00:00,7448.0
2013-03-14 06:00:00,7843.0
2013-03-14 07:00:00,8635.0
2013-03-14 08:00:00,9136.0
2013-03-14 09:00:00,9103.0
2013-03-14 10:00:00,9017.0
2013-03-14 11:00:00,9029.0
2013-03-14 12:00:00,8941.0
2013-03-14 13:00:00,8831.0
2013-03-14 14:00:00,8740.0
2013-03-14 15:00:00,8587.0
2013-03-14 16:00:00,8357.0
2013-03-14 17:00:00,8218.0
2013-03-14 18:00:00,8139.0
2013-03-14 19:00:00,8162.0
2013-03-14 20:00:00,8520.0
2013-03-14 21:00:00,8883.0
2013-03-14 22:00:00,8691.0
2013-03-14 23:00:00,8251.0
2013-03-14 00:00:00,7949.0
