Datetime,FE_MW
2016-04-07 01:00:00,6530.0
2016-04-07 02:00:00,6275.0
2016-04-07 03:00:00,6253.0
2016-04-07 04:00:00,6244.0
2016-04-07 05:00:00,6341.0
2016-04-07 06:00:00,6707.0
2016-04-07 07:00:00,7427.0
2016-04-07 08:00:00,7827.0
2016-04-07 09:00:00,7902.0
2016-04-07 10:00:00,7967.0
2016-04-07 11:00:00,8082.0
2016-04-07 12:00:00,8109.0
2016-04-07 13:00:00,8082.0
2016-04-07 14:00:00,8075.0
2016-04-07 15:00:00,8034.0
2016-04-07 16:00:00,7923.0
2016-04-07 17:00:00,7911.0
2016-04-07 18:00:00,7890.0
2016-04-07 19:00:00,7932.0
2016-04-07 20:00:00,8033.0
2016-04-07 21:00:00,8276.0
2016-04-07 22:00:00,8040.0
2016-04-07 23:00:00,7653.0
2016-04-07 00:00:00,6807.0
