Datetime,DUQ_MW
2011-10-10 01:00:00,1247.0
2011-10-10 02:00:00,1210.0
2011-10-10 03:00:00,1180.0
2011-10-10 04:00:00,1162.0
2011-10-10 05:00:00,1197.0
2011-10-10 06:00:00,1278.0
2011-10-10 07:00:00,1390.0
2011-10-10 08:00:00,1466.0
2011-10-10 09:00:00,1483.0
2011-10-10 10:00:00,1542.0
2011-10-10 11:00:00,1593.0
2011-10-10 12:00:00,1632.0
2011-10-10 13:00:00,1651.0
2011-10-10 14:00:00,1669.0
2011-10-10 15:00:00,1679.0
2011-10-10 16:00:00,1663.0
2011-10-10 17:00:00,1663.0
2011-10-10 18:00:00,1673.0
2011-10-10 19:00:00,1651.0
2011-10-10 20:00:00,1716.0
2011-10-10 21:00:00,1669.0
2011-10-10 22:00:00,1592.0
2011-10-10 23:00:00,1476.0
2011-10-10 00:00:00,1331.0
