Datetime,DUQ_MW
2018-02-27 01:00:00,1285.0
2018-02-27 02:00:00,1261.0
2018-02-27 03:00:00,1250.0
2018-02-27 04:00:00,1262.0
2018-02-27 05:00:00,1308.0
2018-02-27 06:00:00,1386.0
2018-02-27 07:00:00,1513.0
2018-02-27 08:00:00,1573.0
2018-02-27 09:00:00,1579.0
2018-02-27 10:00:00,1572.0
2018-02-27 11:00:00,1565.0
2018-02-27 12:00:00,1534.0
2018-02-27 13:00:00,1515.0
2018-02-27 14:00:00,1508.0
2018-02-27 15:00:00,1493.0
2018-02-27 16:00:00,1466.0
2018-02-27 17:00:00,1465.0
2018-02-27 18:00:00,1472.0
2018-02-27 19:00:00,1528.0
2018-02-27 20:00:00,1545.0
2018-02-27 21:00:00,1521.0
2018-02-27 22:00:00,1473.0
2018-02-27 23:00:00,1399.0
2018-02-27 00:00:00,1327.0
