Datetime,DUQ_MW
2017-03-19 01:00:00,1361.0
2017-03-19 02:00:00,1320.0
2017-03-19 03:00:00,1298.0
2017-03-19 04:00:00,1299.0
2017-03-19 05:00:00,1294.0
2017-03-19 06:00:00,1307.0
2017-03-19 07:00:00,1351.0
2017-03-19 08:00:00,1371.0
2017-03-19 09:00:00,1415.0
2017-03-19 10:00:00,1471.0
2017-03-19 11:00:00,1486.0
2017-03-19 12:00:00,1493.0
2017-03-19 13:00:00,1498.0
2017-03-19 14:00:00,1487.0
2017-03-19 15:00:00,1474.0
2017-03-19 16:00:00,1449.0
2017-03-19 17:00:00,1454.0
2017-03-19 18:00:00,1469.0
2017-03-19 19:00:00,1491.0
2017-03-19 20:00:00,1536.0
2017-03-19 21:00:00,1533.0
2017-03-19 22:00:00,1504.0
2017-03-19 23:00:00,1437.0
2017-03-19 00:00:00,1404.0
