Datetime,DUQ_MW
2011-03-15 01:00:00,1430.0
2011-03-15 02:00:00,1394.0
2011-03-15 03:00:00,1387.0
2011-03-15 04:00:00,1391.0
2011-03-15 05:00:00,1419.0
2011-03-15 06:00:00,1494.0
2011-03-15 07:00:00,1643.0
2011-03-15 08:00:00,1777.0
2011-03-15 09:00:00,1765.0
2011-03-15 10:00:00,1782.0
2011-03-15 11:00:00,1784.0
2011-03-15 12:00:00,1786.0
2011-03-15 13:00:00,1778.0
2011-03-15 14:00:00,1757.0
2011-03-15 15:00:00,1737.0
2011-03-15 16:00:00,1732.0
2011-03-15 17:00:00,1734.0
2011-03-15 18:00:00,1716.0
2011-03-15 19:00:00,1727.0
2011-03-15 20:00:00,1780.0
2011-03-15 21:00:00,1765.0
2011-03-15 22:00:00,1719.0
2011-03-15 23:00:00,1626.0
2011-03-15 00:00:00,1511.0
