Datetime,DUQ_MW
2005-02-06 01:00:00,1426.0
2005-02-06 02:00:00,1388.0
2005-02-06 03:00:00,1359.0
2005-02-06 04:00:00,1339.0
2005-02-06 05:00:00,1336.0
2005-02-06 06:00:00,1349.0
2005-02-06 07:00:00,1405.0
2005-02-06 08:00:00,1425.0
2005-02-06 09:00:00,1470.0
2005-02-06 10:00:00,1484.0
2005-02-06 11:00:00,1502.0
2005-02-06 12:00:00,1501.0
2005-02-06 13:00:00,1496.0
2005-02-06 14:00:00,1487.0
2005-02-06 15:00:00,1474.0
2005-02-06 16:00:00,1483.0
2005-02-06 17:00:00,1505.0
2005-02-06 18:00:00,1586.0
2005-02-06 19:00:00,1654.0
2005-02-06 20:00:00,1632.0
2005-02-06 21:00:00,1633.0
2005-02-06 22:00:00,1629.0
2005-02-06 23:00:00,1563.0
2005-02-06 00:00:00,1462.0
