Datetime,DUQ_MW
2008-04-10 01:00:00,1257.0
2008-04-10 02:00:00,1271.0
2008-04-10 03:00:00,1223.0
2008-04-10 04:00:00,1218.0
2008-04-10 05:00:00,1245.0
2008-04-10 06:00:00,1335.0
2008-04-10 07:00:00,1480.0
2008-04-10 08:00:00,1550.0
2008-04-10 09:00:00,1576.0
2008-04-10 10:00:00,1634.0
2008-04-10 11:00:00,1672.0
2008-04-10 12:00:00,1683.0
2008-04-10 13:00:00,1708.0
2008-04-10 14:00:00,1709.0
2008-04-10 15:00:00,1689.0
2008-04-10 16:00:00,1701.0
2008-04-10 17:00:00,1683.0
2008-04-10 18:00:00,1656.0
2008-04-10 19:00:00,1627.0
2008-04-10 20:00:00,1600.0
2008-04-10 21:00:00,1666.0
2008-04-10 22:00:00,1608.0
2008-04-10 23:00:00,1513.0
2008-04-10 00:00:00,1385.0
