Datetime,DUQ_MW
2010-09-09 01:00:00,1396.0
2010-09-09 02:00:00,1340.0
2010-09-09 03:00:00,1292.0
2010-09-09 04:00:00,1300.0
2010-09-09 05:00:00,1317.0
2010-09-09 06:00:00,1405.0
2010-09-09 07:00:00,1544.0
2010-09-09 08:00:00,1602.0
2010-09-09 09:00:00,1680.0
2010-09-09 10:00:00,1740.0
2010-09-09 11:00:00,1795.0
2010-09-09 12:00:00,1800.0
2010-09-09 13:00:00,1811.0
2010-09-09 14:00:00,1830.0
2010-09-09 15:00:00,1818.0
2010-09-09 16:00:00,1818.0
2010-09-09 17:00:00,1829.0
2010-09-09 18:00:00,1800.0
2010-09-09 19:00:00,1762.0
2010-09-09 20:00:00,1721.0
2010-09-09 21:00:00,1773.0
2010-09-09 22:00:00,1701.0
2010-09-09 23:00:00,1581.0
2010-09-09 00:00:00,1498.0
