Datetime,DUQ_MW
2010-11-14 01:00:00,1278.0
2010-11-14 02:00:00,1247.0
2010-11-14 03:00:00,1215.0
2010-11-14 04:00:00,1216.0
2010-11-14 05:00:00,1218.0
2010-11-14 06:00:00,1243.0
2010-11-14 07:00:00,1288.0
2010-11-14 08:00:00,1314.0
2010-11-14 09:00:00,1368.0
2010-11-14 10:00:00,1431.0
2010-11-14 11:00:00,1471.0
2010-11-14 12:00:00,1508.0
2010-11-14 13:00:00,1521.0
2010-11-14 14:00:00,1526.0
2010-11-14 15:00:00,1527.0
2010-11-14 16:00:00,1514.0
2010-11-14 17:00:00,1584.0
2010-11-14 18:00:00,1627.0
2010-11-14 19:00:00,1619.0
2010-11-14 20:00:00,1626.0
2010-11-14 21:00:00,1584.0
2010-11-14 22:00:00,1531.0
2010-11-14 23:00:00,1464.0
2010-11-14 00:00:00,1329.0
