Datetime,DUQ_MW
2017-09-04 01:00:00,1182.0
2017-09-04 02:00:00,1142.0
2017-09-04 03:00:00,1119.0
2017-09-04 04:00:00,1112.0
2017-09-04 05:00:00,1124.0
2017-09-04 06:00:00,1145.0
2017-09-04 07:00:00,1166.0
2017-09-04 08:00:00,1159.0
2017-09-04 09:00:00,1218.0
2017-09-04 10:00:00,1294.0
2017-09-04 11:00:00,1369.0
2017-09-04 12:00:00,1436.0
2017-09-04 13:00:00,1509.0
2017-09-04 14:00:00,1558.0
2017-09-04 15:00:00,1598.0
2017-09-04 16:00:00,1646.0
2017-09-04 17:00:00,1701.0
2017-09-04 18:00:00,1722.0
2017-09-04 19:00:00,1711.0
2017-09-04 20:00:00,1710.0
2017-09-04 21:00:00,1751.0
2017-09-04 22:00:00,1705.0
2017-09-04 23:00:00,1588.0
2017-09-04 00:00:00,1233.0
