Datetime,DUQ_MW
2007-06-06 01:00:00,1324.0
2007-06-06 02:00:00,1279.0
2007-06-06 03:00:00,1224.0
2007-06-06 04:00:00,1219.0
2007-06-06 05:00:00,1234.0
2007-06-06 06:00:00,1292.0
2007-06-06 07:00:00,1376.0
2007-06-06 08:00:00,1488.0
2007-06-06 09:00:00,1595.0
2007-06-06 10:00:00,1628.0
2007-06-06 11:00:00,1685.0
2007-06-06 12:00:00,1751.0
2007-06-06 13:00:00,1773.0
2007-06-06 14:00:00,1794.0
2007-06-06 15:00:00,1795.0
2007-06-06 16:00:00,1794.0
2007-06-06 17:00:00,1772.0
2007-06-06 18:00:00,1770.0
2007-06-06 19:00:00,1729.0
2007-06-06 20:00:00,1665.0
2007-06-06 21:00:00,1672.0
2007-06-06 22:00:00,1702.0
2007-06-06 23:00:00,1607.0
2007-06-06 00:00:00,1445.0
