Datetime,AEP_MW
2009-05-16 01:00:00,12045.0
2009-05-16 02:00:00,11435.0
2009-05-16 03:00:00,11075.0
2009-05-16 04:00:00,10859.0
2009-05-16 05:00:00,10797.0
2009-05-16 06:00:00,10971.0
2009-05-16 07:00:00,11052.0
2009-05-16 08:00:00,11568.0
2009-05-16 09:00:00,12352.0
2009-05-16 10:00:00,13061.0
2009-05-16 11:00:00,13588.0
2009-05-16 12:00:00,13898.0
2009-05-16 13:00:00,14055.0
2009-05-16 14:00:00,14163.0
2009-05-16 15:00:00,13969.0
2009-05-16 16:00:00,14033.0
2009-05-16 17:00:00,14049.0
2009-05-16 18:00:00,13850.0
2009-05-16 19:00:00,13654.0
2009-05-16 20:00:00,13470.0
2009-05-16 21:00:00,13480.0
2009-05-16 22:00:00,13614.0
2009-05-16 23:00:00,12782.0
2009-05-16 00:00:00,12935.0
