Datetime,AEP_MW
2012-09-10 01:00:00,11597.0
2012-09-10 02:00:00,11138.0
2012-09-10 03:00:00,10943.0
2012-09-10 04:00:00,10831.0
2012-09-10 05:00:00,11077.0
2012-09-10 06:00:00,11801.0
2012-09-10 07:00:00,13025.0
2012-09-10 08:00:00,13562.0
2012-09-10 09:00:00,13903.0
2012-09-10 10:00:00,14421.0
2012-09-10 11:00:00,14900.0
2012-09-10 12:00:00,15200.0
2012-09-10 13:00:00,15522.0
2012-09-10 14:00:00,15691.0
2012-09-10 15:00:00,15785.0
2012-09-10 16:00:00,15843.0
2012-09-10 17:00:00,15862.0
2012-09-10 18:00:00,15843.0
2012-09-10 19:00:00,15722.0
2012-09-10 20:00:00,15391.0
2012-09-10 21:00:00,15734.0
2012-09-10 22:00:00,15182.0
2012-09-10 23:00:00,13874.0
2012-09-10 00:00:00,12118.0
