Datetime,AEP_MW
2005-09-07 01:00:00,13460.0
2005-09-07 02:00:00,12770.0
2005-09-07 03:00:00,12436.0
2005-09-07 04:00:00,12199.0
2005-09-07 05:00:00,12222.0
2005-09-07 06:00:00,12828.0
2005-09-07 07:00:00,14178.0
2005-09-07 08:00:00,14599.0
2005-09-07 09:00:00,15162.0
2005-09-07 10:00:00,15723.0
2005-09-07 11:00:00,16401.0
2005-09-07 12:00:00,16908.0
2005-09-07 13:00:00,17409.0
2005-09-07 14:00:00,17907.0
2005-09-07 15:00:00,18363.0
2005-09-07 16:00:00,18679.0
2005-09-07 17:00:00,18996.0
2005-09-07 18:00:00,19216.0
2005-09-07 19:00:00,18774.0
2005-09-07 20:00:00,18199.0
2005-09-07 21:00:00,18309.0
2005-09-07 22:00:00,17723.0
2005-09-07 23:00:00,16247.0
2005-09-07 00:00:00,14558.0
