Datetime,AEP_MW
2012-02-10 01:00:00,16487.0
2012-02-10 02:00:00,16163.0
2012-02-10 03:00:00,16176.0
2012-02-10 04:00:00,16195.0
2012-02-10 05:00:00,16492.0
2012-02-10 06:00:00,17323.0
2012-02-10 07:00:00,18854.0
2012-02-10 08:00:00,19614.0
2012-02-10 09:00:00,19355.0
2012-02-10 10:00:00,19159.0
2012-02-10 11:00:00,18924.0
2012-02-10 12:00:00,18690.0
2012-02-10 13:00:00,18346.0
2012-02-10 14:00:00,18191.0
2012-02-10 15:00:00,17950.0
2012-02-10 16:00:00,17771.0
2012-02-10 17:00:00,17968.0
2012-02-10 18:00:00,18284.0
2012-02-10 19:00:00,18814.0
2012-02-10 20:00:00,18598.0
2012-02-10 21:00:00,18458.0
2012-02-10 22:00:00,18070.0
2012-02-10 23:00:00,17334.0
2012-02-10 00:00:00,17006.0
