Datetime,AEP_MW
2010-06-15 01:00:00,15341.0
2010-06-15 02:00:00,14386.0
2010-06-15 03:00:00,13850.0
2010-06-15 04:00:00,13449.0
2010-06-15 05:00:00,13311.0
2010-06-15 06:00:00,13805.0
2010-06-15 07:00:00,14793.0
2010-06-15 08:00:00,15696.0
2010-06-15 09:00:00,16562.0
2010-06-15 10:00:00,17307.0
2010-06-15 11:00:00,18253.0
2010-06-15 12:00:00,19083.0
2010-06-15 13:00:00,19739.0
2010-06-15 14:00:00,20162.0
2010-06-15 15:00:00,20659.0
2010-06-15 16:00:00,20975.0
2010-06-15 17:00:00,21095.0
2010-06-15 18:00:00,20907.0
2010-06-15 19:00:00,20567.0
2010-06-15 20:00:00,20138.0
2010-06-15 21:00:00,19815.0
2010-06-15 22:00:00,19625.0
2010-06-15 23:00:00,18399.0
2010-06-15 00:00:00,16530.0
