Datetime,AEP_MW
2005-10-16 01:00:00,11220.0
2005-10-16 02:00:00,10769.0
2005-10-16 03:00:00,10544.0
2005-10-16 04:00:00,10437.0
2005-10-16 05:00:00,10552.0
2005-10-16 06:00:00,10623.0
2005-10-16 07:00:00,10983.0
2005-10-16 08:00:00,11584.0
2005-10-16 09:00:00,12240.0
2005-10-16 10:00:00,12692.0
2005-10-16 11:00:00,12611.0
2005-10-16 12:00:00,12790.0
2005-10-16 13:00:00,12776.0
2005-10-16 14:00:00,12757.0
2005-10-16 15:00:00,12535.0
2005-10-16 16:00:00,12450.0
2005-10-16 17:00:00,12542.0
2005-10-16 18:00:00,12680.0
2005-10-16 19:00:00,13080.0
2005-10-16 20:00:00,14055.0
2005-10-16 21:00:00,14169.0
2005-10-16 22:00:00,13899.0
2005-10-16 23:00:00,13129.0
2005-10-16 00:00:00,11917.0
