Datetime,DOM_MW
2015-01-22 01:00:00,11644.0
2015-01-22 02:00:00,11499.0
2015-01-22 03:00:00,11536.0
2015-01-22 04:00:00,11745.0
2015-01-22 05:00:00,12155.0
2015-01-22 06:00:00,13082.0
2015-01-22 07:00:00,14314.0
2015-01-22 08:00:00,14871.0
2015-01-22 09:00:00,14547.0
2015-01-22 10:00:00,14078.0
2015-01-22 11:00:00,13263.0
2015-01-22 12:00:00,12370.0
2015-01-22 13:00:00,11793.0
2015-01-22 14:00:00,11383.0
2015-01-22 15:00:00,11037.0
2015-01-22 16:00:00,11047.0
2015-01-22 17:00:00,11362.0
2015-01-22 18:00:00,12485.0
2015-01-22 19:00:00,13231.0
2015-01-22 20:00:00,13333.0
2015-01-22 21:00:00,13256.0
2015-01-22 22:00:00,12917.0
2015-01-22 23:00:00,12248.0
2015-01-22 00:00:00,11984.0
