Datetime,DOM_MW
2007-01-03 01:00:00,10001.0
2007-01-03 02:00:00,9854.0
2007-01-03 03:00:00,9979.0
2007-01-03 04:00:00,10136.0
2007-01-03 05:00:00,10591.0
2007-01-03 06:00:00,11568.0
2007-01-03 07:00:00,13040.0
2007-01-03 08:00:00,13530.0
2007-01-03 09:00:00,12989.0
2007-01-03 10:00:00,11979.0
2007-01-03 11:00:00,11416.0
2007-01-03 12:00:00,10869.0
2007-01-03 13:00:00,10498.0
2007-01-03 14:00:00,10162.0
2007-01-03 15:00:00,9921.0
2007-01-03 16:00:00,9816.0
2007-01-03 17:00:00,10033.0
2007-01-03 18:00:00,11253.0
2007-01-03 19:00:00,11793.0
2007-01-03 20:00:00,11751.0
2007-01-03 21:00:00,11602.0
2007-01-03 22:00:00,11158.0
2007-01-03 23:00:00,10294.0
2007-01-03 00:00:00,10343.0
