Datetime,DOM_MW
2008-09-14 01:00:00,10902.0
2008-09-14 02:00:00,10275.0
2008-09-14 03:00:00,9782.0
2008-09-14 04:00:00,9421.0
2008-09-14 05:00:00,9297.0
2008-09-14 06:00:00,9251.0
2008-09-14 07:00:00,9415.0
2008-09-14 08:00:00,9785.0
2008-09-14 09:00:00,10942.0
2008-09-14 10:00:00,12278.0
2008-09-14 11:00:00,13454.0
2008-09-14 12:00:00,14521.0
2008-09-14 13:00:00,15319.0
2008-09-14 14:00:00,15976.0
2008-09-14 15:00:00,16253.0
2008-09-14 16:00:00,16378.0
2008-09-14 17:00:00,16292.0
2008-09-14 18:00:00,16161.0
2008-09-14 19:00:00,15728.0
2008-09-14 20:00:00,15560.0
2008-09-14 21:00:00,15296.0
2008-09-14 22:00:00,14386.0
2008-09-14 23:00:00,13363.0
2008-09-14 00:00:00,11814.0
